customer_id,age,income,recency,frequency,monetary
C1001,60,956000,238,1,33800
C1002,34,1373000,13,19,181400
C1003,55,1153000,10,24,195900
C1004,27,1353000,14,18,104800
C1005,39,1088000,7,19,148100
C1006,47,1394000,16,32,199500
C1007,37,1030000,39,12,46800
C1008,28,428000,64,6,17900
C1009,23,367000,68,1,25300
C1010,50,1508000,13,24,130000
C1011,33,699000,36,7,64400
C1012,40,337000,11,8,30300
C1013,36,897000,333,7,35200
C1014,64,1272000,261,1,18200
C1015,55,1488000,248,3,38900
C1016,54,924000,187,3,33100
C1017,30,1623000,10,27,168500
C1018,27,662000,31,11,66700
C1019,29,594000,34,8,34100
C1020,34,352000,99,4,15100
C1021,37,898000,35,13,59200
C1022,20,1136000,41,3,67100
C1023,40,736000,44,8,77900
C1024,19,470000,125,4,13000
C1025,33,776000,41,13,73700
C1026,25,570000,114,5,11000
C1027,34,584000,23,12,82300
C1028,35,1634000,5,15,200400
C1029,52,1389000,312,3,29300
C1030,67,1157000,256,1,26800
C1031,33,813000,34,7,42800
C1032,50,1574000,14,20,200900
C1033,38,585000,42,6,46700
C1034,47,1242000,291,5,14000
C1035,37,897000,27,15,92700
C1036,40,890000,37,6,71500
C1037,44,1318000,21,26,210600
C1038,33,1453000,18,31,172000
C1039,30,474000,96,2,11500
C1040,26,671000,61,10,42500
C1041,36,1301000,10,31,226000
C1042,38,1028000,17,18,182900
C1043,25,402000,106,3,20900
C1044,26,456000,88,7,29800
C1045,40,890000,263,2,16800
C1046,29,518000,30,3,9400
C1047,34,408000,99,1,23100
C1048,39,1490000,11,29,186800
C1049,52,819000,246,1,25100
C1050,33,1032000,24,17,74100
C1051,36,826000,48,10,62200
C1052,18,461000,93,5,28900
C1053,28,565000,20,11,78500
C1054,30,716000,37,10,63500
C1055,27,401000,138,7,24000
C1056,22,305000,90,5,14200
C1057,58,599000,231,3,29600
C1058,18,552000,95,4,28400
C1059,27,443000,84,7,31700
C1060,29,571000,66,3,24200
C1061,20,424000,54,4,11700
C1062,26,792000,23,7,66100
C1063,30,863000,31,10,62700
C1064,21,711000,43,14,87200
C1065,19,617000,179,3,5300
C1066,25,469000,76,6,20300
C1067,27,120000,80,3,20900
C1068,25,1052000,48,12,37700
C1069,43,934000,41,8,43300
C1070,51,1218000,11,22,206300
C1071,35,793000,41,9,62900
C1072,43,1343000,8,25,194200
C1073,38,466000,80,5,12400
C1074,61,1355000,8,18,226200
C1075,53,1344000,25,24,215200
C1076,60,975000,193,1,41600
C1077,40,1816000,16,23,161500
C1078,21,689000,29,11,57200
C1079,32,775000,24,8,49300
C1080,23,292000,119,4,34000
C1081,56,1576000,242,7,23500
C1082,28,462000,110,5,17300
C1083,25,981000,27,13,81300
C1084,26,481000,99,5,30600
C1085,31,647000,37,12,62200
C1086,20,522000,168,4,23500
C1087,39,1528000,7,18,164300
C1088,36,779000,22,13,45600
C1089,20,478000,83,1,17200
C1090,62,720000,127,2,20200
C1091,42,1562000,5,21,196500
C1092,37,578000,48,13,60000
C1093,30,731000,47,10,28300
C1094,42,924000,212,6,43700
C1095,72,1182000,210,1,3500
C1096,27,667000,41,8,70200
C1097,34,1572000,23,23,191200
C1098,50,1564000,11,21,176200
C1099,46,1071000,107,6,8500
C1100,30,501000,138,3,22300
C1101,18,675000,29,8,74800
C1102,50,1949000,7,28,129600
C1103,29,490000,89,4,26900
C1104,34,1365000,13,31,160600
C1105,45,1333000,13,35,195400
C1106,36,1539000,7,27,142400
C1107,37,970000,45,8,52600
C1108,50,933000,132,4,5700
C1109,38,1660000,5,16,205700
C1110,31,595000,22,18,82400
C1111,40,2178000,10,23,236700
C1112,38,1775000,15,22,200400
C1113,26,394000,45,6,22400
C1114,24,648000,57,4,65700
C1115,22,445000,109,5,22000
C1116,35,481000,20,10,62200
C1117,50,1570000,9,18,123500
C1118,69,653000,226,1,34800
C1119,30,655000,36,11,48200
C1120,40,847000,46,14,62600
C1121,26,790000,56,8,69700
C1122,26,587000,27,10,89000
C1123,62,813000,277,2,20800
C1124,30,741000,42,13,65800
C1125,29,938000,32,12,65700
C1126,53,857000,52,4,20100
C1127,23,120000,79,2,13400
C1128,27,1063000,160,1,24400
C1129,60,1083000,163,3,16400
C1130,22,385000,105,3,6800
C1131,27,523000,113,7,23300
C1132,26,408000,66,7,9600
C1133,55,1401000,285,3,49100
C1134,22,246000,13,9,59700
C1135,35,1660000,11,37,219600
C1136,26,583000,135,3,15100
C1137,36,433000,84,6,19000
C1138,21,864000,44,10,67700
C1139,28,789000,34,12,65800
C1140,25,325000,115,4,12700
